Fib_Angle,Ply_Layers,E1/E2,Winkler,Pasternak,Rx,Ry,a/h,Skew_Angle,Poisson_R,Omega,Strat_cat
15.0,8,40.0,0.0,0.0,0.1,0.1,50.0,0.0,0.25,22.2748,EF0_Spherical
75.0,6,5.0,0.0,0.0,0.8,0.8,100.0,45.0,0.25,97.5993,EF0_Spherical
60.0,8,50.0,0.0,0.0,0.8,0.8,75.0,45.0,0.25,119.0709,EF0_Spherical
90.0,16,10.0,0.0,0.0,0.4,0.4,10.0,30.0,0.25,14.3063,EF0_Spherical
90.0,8,40.0,0.0,0.0,1.0,1.0,50.0,0.0,0.25,60.7334,EF0_Spherical
60.0,8,10.0,0.0,0.0,0.1,0.1,50.0,60.0,0.25,40.4206,EF0_Spherical
75.0,10,50.0,0.0,0.0,0.4,0.4,100.0,30.0,0.25,79.6373,EF0_Spherical
75.0,12,5.0,0.0,0.0,0.25,0.25,10.0,5.0,0.25,9.1293,EF0_Spherical
90.0,8,50.0,0.0,0.0,0.6,0.6,5.0,15.0,0.25,11.5469,EF0_Spherical
30.0,14,40.0,0.0,0.0,1.0,1.0,100.0,75.0,0.25,328.3499,EF0_Spherical
90.0,16,10.0,0.0,0.0,0.4,0.4,25.0,5.0,0.25,16.0277,EF0_Spherical
45.0,6,90.0,0.0,0.0,0.4,0.4,75.0,5.0,0.25,105.8057,EF0_Spherical
15.0,10,50.0,0.0,0.0,1.0,1.0,25.0,75.0,0.25,96.175,EF0_Spherical
60.0,12,90.0,0.0,0.0,0.4,0.4,50.0,60.0,0.25,113.8628,EF0_Spherical
90.0,6,50.0,0.0,0.0,0.1,0.1,10.0,5.0,0.25,15.7836,EF0_Spherical
60.0,10,10.0,0.0,0.0,1.0,1.0,50.0,45.0,0.25,75.3601,EF0_Spherical
75.0,6,5.0,0.0,0.0,0.6,0.6,75.0,5.0,0.25,56.8462,EF0_Spherical
75.0,6,90.0,0.0,0.0,0.8,0.8,5.0,30.0,0.25,15.9891,EF0_Spherical
75.0,16,40.0,0.0,0.0,0.4,0.4,25.0,15.0,0.25,27.7474,EF0_Spherical
90.0,8,75.0,0.0,0.0,0.25,0.25,10.0,15.0,0.25,18.5156,EF0_Spherical
30.0,16,75.0,0.0,0.0,1.0,1.0,100.0,75.0,0.25,371.6142,EF0_Spherical
90.0,12,5.0,0.0,0.0,0.8,0.8,25.0,75.0,0.25,46.7883,EF0_Spherical
45.0,10,50.0,0.0,0.0,0.4,0.4,100.0,75.0,0.25,231.4567,EF0_Spherical
15.0,6,90.0,0.0,0.0,1.0,1.0,25.0,5.0,0.25,52.7277,EF0_Spherical
60.0,16,40.0,0.0,0.0,0.1,0.1,50.0,45.0,0.25,41.2589,EF0_Spherical
75.0,12,50.0,0.0,0.0,0.1,0.1,5.0,0.0,0.25,11.6672,EF0_Spherical
15.0,2,40.0,0.0,0.0,1.0,1.0,50.0,60.0,0.3,118.7283,EF0_Spherical
15.0,12,5.0,0.0,0.0,0.8,0.8,50.0,5.0,0.25,51.9737,EF0_Spherical
60.0,8,50.0,0.0,0.0,0.8,0.8,100.0,45.0,0.25,149.9209,EF0_Spherical
15.0,8,50.0,0.0,0.0,1.0,1.0,50.0,30.0,0.25,101.7572,EF0_Spherical
90.0,4,90.0,0.0,0.0,0.1,0.1,10.0,75.0,0.25,19.3151,EF0_Spherical
45.0,12,40.0,0.0,0.0,0.25,0.25,75.0,30.0,0.25,59.4607,EF0_Spherical
15.0,14,10.0,0.0,0.0,0.4,0.4,10.0,30.0,0.25,13.695,EF0_Spherical
75.0,10,50.0,0.0,0.0,0.6,0.6,10.0,45.0,0.25,30.836,EF0_Spherical
90.0,8,50.0,0.0,0.0,1.0,1.0,100.0,30.0,0.25,127.7653,EF0_Spherical
